review_id,booking_id,property_id,review_date,guest_rating,review_text
RV000001,BK000001,PROP001,2023-01-08,4.8,Voluptates odio quae ab voluptatem totam quia numquam cupiditate aliquam itaque veritatis dolorem.
RV000002,BK000002,PROP001,2023-01-14,4.9,Ducimus iste quas sequi ad consectetur eligendi harum sint temporibus rerum sunt distinctio.
RV000003,BK000003,PROP001,2023-01-17,4.6,Non officiis placeat molestias modi facere architecto beatae placeat.
RV000004,BK000004,PROP001,2023-01-21,4.2,Pariatur nihil voluptatem saepe odit voluptas magnam rerum nesciunt fuga quisquam.
RV000005,BK000005,PROP001,2023-01-26,4.3,Error suscipit doloribus dolores odio in sit cumque ipsa.
RV000006,BK000006,PROP001,2023-01-30,4.3,Voluptatibus ipsa iste totam nobis quasi asperiores sint qui culpa dignissimos tempore mollitia ducimus odio rerum.
RV000007,BK000007,PROP001,2023-02-07,4.8,Adipisci ex debitis vel maiores eius occaecati.
RV000008,BK000008,PROP001,2023-02-16,4.7,Odit harum ducimus tempore quis quidem facere voluptatum facere sapiente eum culpa.
RV000009,BK000009,PROP001,2023-02-21,4.5,Dolore vel et rerum hic consequatur itaque dolorum ratione at quas corporis placeat autem.
RV000010,BK000010,PROP001,2023-03-01,4.6,Tempora quae temporibus quas cumque facilis quidem suscipit voluptas voluptatum deleniti soluta repudiandae.
RV000011,BK000011,PROP001,2023-03-02,5.0,Est ducimus saepe a sint error est aperiam cupiditate nisi.
RV000012,BK000012,PROP001,2023-03-10,4.7,Earum soluta laboriosam ducimus laborum dolorem enim temporibus consequatur similique error assumenda a iste sed.
RV000013,BK000013,PROP001,2023-03-14,4.3,Iste sint fugit deleniti veniam laborum cupiditate inventore iusto reiciendis asperiores eos tempore doloremque velit aliquam.
RV000014,BK000014,PROP001,2023-03-19,5.0,Laudantium ad repudiandae vitae vero placeat odit nisi facilis veniam earum reiciendis.
RV000015,BK000015,PROP001,2023-03-26,4.7,Doloremque nihil deleniti accusantium ad aliquid magnam.
RV000016,BK000016,PROP001,2023-03-28,4.8,Similique fugit iure labore eveniet quae autem sint.
RV000017,BK000017,PROP001,2023-04-01,4.5,Eveniet facilis maiores expedita consequatur repellat porro recusandae.
RV000018,BK000018,PROP001,2023-04-08,4.7,Delectus distinctio animi quas sequi rem voluptatibus voluptatibus.
RV000019,BK000019,PROP001,2023-04-10,4.5,Mollitia quisquam rem dolorem molestias labore numquam accusantium suscipit suscipit.
RV000020,BK000020,PROP001,2023-04-17,5.0,Harum fugiat minima tenetur nihil debitis ex officia minus rem cupiditate exercitationem suscipit vitae maiores.
RV000021,BK000021,PROP001,2023-04-21,4.9,Hic temporibus excepturi id vero voluptatum qui occaecati veritatis pariatur corrupti mollitia non quasi temporibus.
RV000022,BK000022,PROP001,2023-04-28,5.0,Ut rem distinctio sunt quam qui pariatur dolor natus ipsa quaerat doloremque.
RV000023,BK000023,PROP001,2023-05-03,4.7,Occaecati natus ut sunt iste aperiam similique ad dicta soluta delectus distinctio quaerat ab vero.
RV000024,BK000024,PROP001,2023-05-11,4.6,Ducimus magnam porro modi velit officiis animi occaecati voluptate.
RV000025,BK000025,PROP001,2023-05-12,4.7,Illum voluptatum aut fugit ad reprehenderit provident tempora odio labore sed.
RV000026,BK000026,PROP001,2023-05-15,4.6,Ea cumque architecto vitae quidem nihil ipsam unde occaecati cum illum.
RV000027,BK000027,PROP001,2023-05-22,4.6,Molestiae consectetur corporis nihil ab blanditiis modi ex earum natus.
RV000028,BK000028,PROP001,2023-05-26,4.8,Natus commodi a cum in tempore saepe deserunt.
RV000029,BK000029,PROP001,2023-06-01,4.6,Ab inventore debitis quis amet perferendis quaerat iusto fugit mollitia quibusdam inventore.
RV000030,BK000030,PROP001,2023-06-09,4.8,Eos minus autem excepturi cupiditate quam fugiat sapiente facilis adipisci aspernatur.
RV000031,BK000031,PROP001,2023-06-10,4.8,Sequi aspernatur laboriosam qui dignissimos rem et corporis quisquam libero dolores itaque blanditiis totam ex fugit.
RV000032,BK000032,PROP001,2023-06-11,4.5,Tempore ab ipsa quisquam eaque enim error aspernatur pariatur laudantium ab ratione deserunt hic.
RV000033,BK000033,PROP001,2023-06-19,4.2,Id maiores aliquid modi doloremque dignissimos nobis iusto rerum.
RV000034,BK000034,PROP001,2023-06-21,4.7,Accusamus ipsum alias iusto quos quis alias ut perspiciatis.
RV000035,BK000035,PROP001,2023-06-30,4.7,Adipisci suscipit ex ipsam officiis totam animi ratione sint possimus error maiores repudiandae quia necessitatibus.
RV000036,BK000036,PROP001,2023-06-30,4.8,Sunt non ea ab quam nisi saepe explicabo nihil ut.
RV000037,BK000037,PROP001,2023-07-07,4.7,Corrupti adipisci magni sunt sequi laboriosam illum quo dignissimos occaecati maxime maiores hic magni provident.
RV000038,BK000038,PROP001,2023-07-12,4.9,Suscipit quibusdam ut suscipit fugit doloremque nesciunt voluptas cupiditate corporis.
RV000039,BK000039,PROP001,2023-07-20,5.0,Dolor esse laborum qui aliquid repellendus quae corporis maxime minus.
RV000040,BK000040,PROP001,2023-07-26,5.0,A neque eius possimus sapiente facere corporis iure ipsa iusto.
RV000041,BK000041,PROP001,2023-07-28,4.9,Illum illum vitae distinctio et nulla repudiandae.
RV000042,BK000042,PROP001,2023-07-30,4.6,Nihil quos iure dolores accusamus itaque illo sapiente sapiente aliquid.
RV000043,BK000043,PROP001,2023-08-05,4.6,Aliquam reiciendis exercitationem eligendi optio fuga velit aliquam delectus id quam.
RV000044,BK000044,PROP001,2023-08-09,4.8,Ducimus quis nemo veniam asperiores eveniet soluta autem accusamus modi voluptatem.
RV000045,BK000045,PROP001,2023-08-18,4.7,Culpa magni officia neque voluptatibus ut est iste fugit natus ratione molestias.
RV000046,BK000046,PROP001,2023-08-21,4.6,Eligendi natus sed est perspiciatis doloremque nesciunt assumenda ipsa consequatur libero ab placeat porro.
RV000047,BK000047,PROP001,2023-08-27,4.8,Perspiciatis ad officiis laborum quis fugit numquam consequuntur quos beatae a nobis corrupti id dolorem.
RV000048,BK000048,PROP001,2023-09-05,5.0,Ea debitis tempora facere corporis saepe illo reprehenderit consequuntur optio ad nesciunt voluptates repellat.
RV000049,BK000049,PROP001,2023-09-07,4.6,Aliquid debitis incidunt fuga rerum amet nesciunt cumque quisquam.
RV000050,BK000050,PROP001,2023-09-12,5.0,Optio ea consequatur vel dolor magnam culpa eius similique atque qui.
RV000051,BK000051,PROP001,2023-09-18,4.8,Magni sunt laudantium dolore ea fuga fuga aliquam dolor ratione ad.
RV000052,BK000052,PROP001,2023-09-23,4.8,Consequatur a quo molestias ullam quod atque quasi iusto est hic eum placeat dolorum.
RV000053,BK000053,PROP001,2023-09-21,4.8,Quasi natus sed quisquam pariatur ratione esse praesentium id reprehenderit suscipit enim perferendis.
RV000054,BK000054,PROP001,2023-09-24,4.7,Facere provident laudantium explicabo explicabo laboriosam odit nesciunt expedita reprehenderit debitis est laborum.
RV000055,BK000055,PROP001,2023-09-29,4.4,Eaque neque vitae cumque fugiat repellendus cumque accusantium.
RV000056,BK000056,PROP001,2023-10-03,4.5,Eligendi hic consequuntur alias unde maiores libero occaecati facilis adipisci eum incidunt.
RV000057,BK000057,PROP001,2023-10-11,4.9,Dolores voluptas omnis libero aliquid minima quam maxime eius ratione adipisci neque eius exercitationem.
RV000058,BK000058,PROP001,2023-10-18,4.5,Quaerat nostrum consequuntur id repudiandae voluptatum voluptates eaque placeat quo quo autem.
RV000059,BK000059,PROP001,2023-10-25,4.6,Omnis reprehenderit eveniet corporis nam nemo ipsa amet doloremque distinctio ut dicta dolor quod hic vitae.
RV000060,BK000060,PROP001,2023-10-25,5.0,Quisquam iusto neque aliquid veniam enim rerum distinctio eligendi iure quia facilis quasi.
RV000061,BK000061,PROP001,2023-10-28,4.7,Suscipit incidunt quia explicabo accusantium eos tempore dolore deleniti deleniti sapiente.
RV000062,BK000062,PROP001,2023-11-02,4.7,Similique voluptas fuga minima ipsa vero praesentium a.
RV000063,BK000063,PROP001,2023-11-10,4.6,Quae aperiam nisi repudiandae tenetur blanditiis earum.
RV000064,BK000064,PROP001,2023-11-18,4.9,Blanditiis rem iste in aliquam voluptates et neque ipsum sint soluta inventore ipsam reiciendis distinctio distinctio.
RV000065,BK000065,PROP001,2023-11-21,4.5,Quas blanditiis in magnam nesciunt amet at quos rem sequi perferendis odio quo ex odio voluptatem.
RV000066,BK000066,PROP001,2023-11-30,4.9,Deleniti dolor excepturi repellat blanditiis maiores quis.
RV000067,BK000067,PROP001,2023-12-04,4.8,Quae qui non odio provident a aliquam beatae facere.
RV000068,BK000068,PROP001,2023-12-09,4.8,Quaerat velit dolore dignissimos nobis ipsam dolorem aut corrupti numquam.
RV000069,BK000069,PROP001,2023-12-16,4.5,Quaerat ipsam repellendus ea porro repudiandae ipsa aut aliquam repellendus alias.
RV000070,BK000070,PROP001,2023-12-21,4.7,Quos assumenda dolores dolorum corrupti dolorem id.
RV000071,BK000071,PROP001,2023-12-24,4.9,Sapiente magni consequuntur cum quaerat consectetur assumenda magnam.
RV000072,BK000072,PROP001,2023-12-30,4.5,Impedit dolores iure illum quasi laudantium eligendi laudantium omnis architecto laboriosam modi.
RV000073,BK000073,PROP001,2024-01-05,4.5,Quaerat tenetur aperiam eum praesentium excepturi praesentium dolorum est animi officia numquam dignissimos.
RV000074,BK000074,PROP001,2024-01-12,4.5,Praesentium doloribus laboriosam officia dolor inventore vero enim pariatur odio repellendus impedit temporibus omnis laudantium.
RV000075,BK000075,PROP001,2024-01-19,4.9,Quibusdam ut suscipit optio repellendus exercitationem laboriosam inventore sed sunt perspiciatis ad nostrum beatae.
RV000076,BK000076,PROP001,2024-01-25,4.7,Laboriosam eius similique ullam maiores nihil iste rerum magnam quam corporis.
RV000077,BK000077,PROP001,2024-01-27,5.0,Nihil sapiente optio fugiat sequi quod nam.
RV000078,BK000078,PROP001,2024-01-31,4.5,Incidunt quo quibusdam voluptate deserunt enim saepe vero tempora dolorum.
RV000079,BK000079,PROP001,2024-02-09,5.0,Possimus in asperiores consectetur dolore consequatur fuga blanditiis soluta repudiandae magni.
RV000080,BK000080,PROP001,2024-02-14,5.0,Soluta commodi architecto eum fuga deserunt enim aliquid soluta dolorem occaecati alias sequi facilis.
RV000081,BK000081,PROP001,2024-02-13,4.4,Vero expedita delectus cumque perferendis et similique et sapiente harum rem.
RV000082,BK000082,PROP001,2024-02-18,4.7,Ratione ipsa ad beatae excepturi dolor praesentium quia laboriosam doloremque assumenda non ullam hic quod corrupti.
RV000083,BK000083,PROP001,2024-02-23,4.6,Pariatur saepe harum at quae assumenda modi nam nam impedit quia laboriosam.
RV000084,BK000084,PROP001,2024-02-26,5.0,Quis fugit voluptates deserunt quam velit optio facilis quod.
RV000085,BK000085,PROP001,2024-02-27,5.0,Dolorum reiciendis necessitatibus iste accusantium modi rerum nemo similique alias voluptates culpa voluptatibus asperiores ad.
RV000086,BK000086,PROP001,2024-03-02,4.8,Quidem perspiciatis doloremque mollitia aut ea ipsa consequuntur sed atque ex aliquid nemo officia quaerat.
RV000087,BK000087,PROP001,2024-03-11,4.7,Culpa suscipit hic numquam unde sed distinctio illo a vero culpa incidunt quaerat reiciendis dolores.
RV000088,BK000088,PROP001,2024-03-15,4.9,Error voluptate maiores quidem earum nesciunt nihil sint.
RV000089,BK000089,PROP001,2024-03-18,5.0,Porro quo sit quaerat repudiandae exercitationem accusantium dolore dignissimos ipsam est alias nihil.
RV000090,BK000090,PROP001,2024-03-22,4.9,Dolores magni eum tempora accusantium molestiae nostrum eos porro suscipit ullam eos natus.
RV000091,BK000091,PROP001,2024-03-29,4.8,Praesentium pariatur corrupti quis ex voluptatibus consequatur recusandae maiores nihil.
RV000092,BK000092,PROP001,2024-04-03,4.9,Suscipit a dicta velit esse ab adipisci aperiam fugiat sint odit corporis dignissimos itaque inventore.
RV000093,BK000093,PROP001,2024-04-11,4.6,Iste consectetur ea reiciendis suscipit perferendis quaerat sequi debitis repellendus sequi quia voluptatibus non dolor vero.
